antecedent,antecedent_categories,consequent,consequent_categories,antecedent_support,consequent_support,support,support_count,confidence,lift
4fcb3d9a5f4871e8362dfedbdb02b064,auto,f4f67ccaece962d013a4e1d7dc3a61f7,auto,0.000902,0.000568,0.000172,17,0.191,336.54
b8a0d73b2a06e7910d9864dccdb0cda2,health_beauty,9bb8ca338e5588c361e34eae02e8fad6,health_beauty,0.000304,0.000324,3e-05,3,0.1,308.33
810e2944bca9850b934e1570ba372e7d,furniture_decor,5d6bea33648f018dbb563f3a2fab09f3,furniture_decor,0.000274,0.000385,3e-05,3,0.1111,288.5
a84d0660dbffebf352aefbf1a6b18d00,watches_gifts,2136c70bbe723d338fab53da3c03e6dc,watches_gifts,0.000132,0.000872,3e-05,3,0.2308,264.76
56cdfe67fbda57c1dcc752f5f361f981,computers_accessories,e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,8.1e-05,0.001581,3e-05,3,0.375,237.18
36f60d45225e60c7da4558b070ce4b60,computers_accessories,e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,0.001125,0.001581,0.000345,34,0.3063,193.73
e53e557d5a159f5aa2c5e995dfdf244b,computers_accessories,36f60d45225e60c7da4558b070ce4b60,computers_accessories,0.001581,0.001125,0.000345,34,0.2179,193.73
dfb97c88e066dc22165f31648efe1312,auto,a50acd33ba7a8da8e9db65094fa990a4,auto,0.000345,0.000841,5.1e-05,5,0.1471,174.82
5c692818d313aa12864b48ac0c2472c2,watches_gifts,2136c70bbe723d338fab53da3c03e6dc,watches_gifts,0.000223,0.000872,3e-05,3,0.1364,156.45
3f14d740544f37ece8a9e7bc8349797e,computers_accessories,36f60d45225e60c7da4558b070ce4b60,computers_accessories,0.000821,0.001125,0.000122,12,0.1481,131.69
36f60d45225e60c7da4558b070ce4b60,computers_accessories,3f14d740544f37ece8a9e7bc8349797e,computers_accessories,0.001125,0.000821,0.000122,12,0.1081,131.69
0a4093a4af429dc0a9334300e5c13ae5,health_beauty,e0cf79767c5b016251fe139915c59a26,health_beauty,0.000405,0.001328,4.1e-05,4,0.1,75.32
f2e53dd1670f3c376518263b3f71424d,bed_bath_table,35afc973633aaeb6b877ff57b2793310,home_confort,0.000284,0.001581,3e-05,3,0.1071,67.77
f2e53dd1670f3c376518263b3f71424d,bed_bath_table,99a4788cb24856965c36a24e339b6058,bed_bath_table,0.000284,0.004733,6.1e-05,6,0.2143,45.27
35afc973633aaeb6b877ff57b2793310,home_confort,99a4788cb24856965c36a24e339b6058,bed_bath_table,0.001581,0.004733,0.000294,29,0.1859,39.28
eebbed5ed3b134eceb717496c47652ba,bed_bath_table,99a4788cb24856965c36a24e339b6058,bed_bath_table,0.000193,0.004733,3e-05,3,0.1579,33.36
