customer_id,similar_customer_id,cosine_similarity,common_products,customer_purchase_count,similar_customer_purchase_count
88a830a14a479075c655c2f9d3ba3934,9ccfff93c79f3dd996cce15f26480c5b,1.0,2,6,2
88a830a14a479075c655c2f9d3ba3934,a3c776e946f1056964f85942ce783c40,1.0,2,6,2
88a830a14a479075c655c2f9d3ba3934,c7b577de54cb78d5d8f60f78f0476a52,1.0,2,6,2
88a830a14a479075c655c2f9d3ba3934,fe1a0586d9ca0876528af23f3219ce3b,1.0,2,6,2
3729f8f3dacbb68f393d2d6ad2b3dc91,ab6a9070b1a32a6ded0bf6410399ab55,1.0,2,2,6
ab6a9070b1a32a6ded0bf6410399ab55,c7b4749501147c8b69fd551ac98b3a6e,1.0,2,6,2
ab6a9070b1a32a6ded0bf6410399ab55,e03684ee60e4f8113ddbe25a1a33d4a3,1.0,2,6,2
1e51a6a24372a8bedea3519f13f80e91,96b482d81d31251add90a9fe63fbbcec,1.0,2,3,3
1e51a6a24372a8bedea3519f13f80e91,c4a5dbcdc7c33758cf5efff999c6203c,1.0,2,3,3
1e51a6a24372a8bedea3519f13f80e91,ca505f00e361296c5d92e01d245671e6,1.0,2,3,3
70115d0e9a0d564ff0bb0315ccaae0eb,83476105a4e9a12fcddd09081dc6cefe,1.0,2,2,4
83476105a4e9a12fcddd09081dc6cefe,a58c3fb6af3c545575b2d93dd050aec9,1.0,2,4,2
96b482d81d31251add90a9fe63fbbcec,c4a5dbcdc7c33758cf5efff999c6203c,1.0,2,3,3
96b482d81d31251add90a9fe63fbbcec,ca505f00e361296c5d92e01d245671e6,1.0,2,3,3
c4a5dbcdc7c33758cf5efff999c6203c,ca505f00e361296c5d92e01d245671e6,1.0,2,3,3
7a5a23b53277ee5e9d10a9d4b6a3b462,9099c659f8cd764e87a1482d258fcec9,1.0,2,2,4
284e36d78d3a3a395cae7fe335fc8371,65290fc39fc326193c8a5b9c71aee62f,1.0,2,4,2
