cluster,customers,avg_orders,avg_spending,avg_freight,avg_products,avg_order_value,min_spending,max_spending
0,80478,1.0,101.93862471736334,18.352436069484906,1.009443574641517,101.60077698257867,0.85,585.0
1,2892,2.1141078838174274,248.008737897649,48.31838174273858,2.591286307053942,99.2429753428432,11.98,4080.0
2,2712,1.008849557522124,1033.3291629793457,54.498930678466024,1.0936578171091444,969.7430561701022,517.99,13440.0
3,9338,1.0,200.06394302848597,52.19579460269885,2.243735275219533,104.80018766289577,7.8,1879.9
